Timestamp,Elapsed_Sec,Total_Sectors,Diff_Sectors,Diff_KB,Diff_MB
2026-02-26 14:32:48,924,17259514,40,20,0.01
2026-02-26 14:32:53,929,17259586,72,36,0.03
2026-02-26 14:32:58,934,17259626,40,20,0.01
2026-02-26 14:33:00,936,17259634,8,4,0.00
2026-02-26 14:33:04,940,17259722,88,44,0.04
2026-02-26 14:33:08,944,17259738,16,8,0.00
2026-02-26 14:33:10,946,17259762,24,12,0.01
2026-02-26 14:33:13,949,17259850,88,44,0.04
2026-02-26 14:33:16,952,17259890,40,20,0.01
2026-02-26 14:33:18,954,17259898,8,4,0.00
2026-02-26 14:33:22,958,17259938,40,20,0.01
2026-02-26 14:33:23,959,17259962,24,12,0.01
2026-02-26 14:33:28,964,17260002,40,20,0.01
2026-02-26 14:33:34,970,17260090,88,44,0.04
2026-02-26 14:33:39,975,17260162,72,36,0.03
2026-02-26 14:33:43,979,17260226,64,32,0.03
2026-02-26 14:33:48,984,17260298,72,36,0.03
2026-02-26 14:33:49,985,17260338,40,20,0.01
2026-02-26 14:33:54,990,17260354,16,8,0.00
2026-02-26 14:33:55,991,17260410,56,28,0.02
2026-02-26 14:34:00,996,17260450,40,20,0.01
2026-02-26 14:34:01,997,17260458,8,4,0.00
2026-02-26 14:34:04,1000,17260474,16,8,0.00
2026-02-26 14:34:06,1002,17260570,96,48,0.04
2026-02-26 14:34:09,1005,17260586,16,8,0.00
2026-02-26 14:34:11,1007,17260634,48,24,0.02
2026-02-26 14:34:13,1009,17260674,40,20,0.01
2026-02-26 14:34:17,1013,17260746,72,36,0.03
2026-02-26 14:34:23,1019,17260786,40,20,0.01
2026-02-26 14:34:24,1020,17260906,120,60,0.05
2026-02-26 14:34:29,1025,17260946,40,20,0.01
2026-02-26 14:34:34,1030,17260986,40,20,0.01
2026-02-26 14:34:35,1031,17261026,40,20,0.01
2026-02-26 14:34:39,1035,17261034,8,4,0.00
2026-02-26 14:34:40,1036,17261058,24,12,0.01
2026-02-26 14:34:44,1040,17261082,24,12,0.01
2026-02-26 14:34:46,1042,17261138,56,28,0.02
2026-02-26 14:34:51,1047,17261194,56,28,0.02
2026-02-26 14:34:57,1053,17261242,48,24,0.02
2026-02-26 14:34:59,1055,17261314,72,36,0.03
2026-02-26 14:35:01,1057,17261322,8,4,0.00
2026-02-26 14:35:03,1059,17261410,88,44,0.04
2026-02-26 14:35:10,1066,17261434,24,12,0.01
2026-02-26 14:35:14,1070,17261466,32,16,0.01
2026-02-26 14:35:16,1072,17261506,40,20,0.01
2026-02-26 14:35:22,1078,17261546,40,20,0.01
2026-02-26 14:35:24,1080,17261578,32,16,0.01
2026-02-26 14:35:27,1083,17261650,72,36,0.03
2026-02-26 14:35:33,1089,17261690,40,20,0.01
2026-02-26 14:35:35,1091,17261826,136,68,0.06
2026-02-26 14:35:38,1094,17261890,64,32,0.03
2026-02-26 14:35:44,1100,17261938,48,24,0.02
2026-02-26 14:35:45,1101,17261962,24,12,0.01
2026-02-26 14:35:49,1105,17262178,216,108,0.10
2026-02-26 14:35:55,1111,17262234,56,28,0.02
2026-02-26 14:36:00,1116,17262306,72,36,0.03
2026-02-26 14:36:01,1117,17262386,80,40,0.03
2026-02-26 14:36:05,1121,17262482,96,48,0.04
2026-02-26 14:36:06,1122,17262586,104,52,0.05
2026-02-26 14:36:10,1126,17262682,96,48,0.04
2026-02-26 14:36:12,1128,17262722,40,20,0.01
2026-02-26 14:36:15,1131,17262770,48,24,0.02
2026-02-26 14:36:18,1134,17262794,24,12,0.01
2026-02-26 14:36:20,1136,17262810,16,8,0.00
2026-02-26 14:36:25,1141,17262850,40,20,0.01
2026-02-26 14:36:26,1142,17262898,48,24,0.02
2026-02-26 14:36:30,1146,17262938,40,20,0.01
2026-02-26 14:36:31,1147,17262994,56,28,0.02
2026-02-26 14:36:36,1152,17263082,88,44,0.04
2026-02-26 14:36:41,1157,17263114,32,16,0.01
2026-02-26 14:36:42,1158,17263186,72,36,0.03
2026-02-26 14:36:46,1163,17263266,80,40,0.03
2026-02-26 14:36:48,1164,17263306,40,20,0.01
2026-02-26 14:36:52,1168,17263362,56,28,0.02
2026-02-26 14:36:53,1169,17263418,56,28,0.02
2026-02-26 14:36:58,1174,17263458,40,20,0.01
2026-02-26 14:37:01,1177,17263466,8,4,0.00
2026-02-26 14:37:04,1180,17263562,96,48,0.04
2026-02-26 14:37:09,1185,17263586,24,12,0.01
2026-02-26 14:37:15,1191,17263626,40,20,0.01
2026-02-26 14:37:19,1195,17263650,24,12,0.01
2026-02-26 14:37:23,1199,17263722,72,36,0.03
2026-02-26 14:37:25,1201,17263786,64,32,0.03
2026-02-26 14:37:27,1203,17263810,24,12,0.01
2026-02-26 14:37:30,1206,17263882,72,36,0.03
2026-02-26 14:37:32,1208,17263938,56,28,0.02
